Generation: ,0,#,#,#,fitness
10,15,20,38,40,2.836895858096468e-06
6,28,36,37,48,7.65851032160211e-07
Generation: ,15,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
1,3,8,21,49,0.1830971782416494
7,13,22,33,42,0.157955174094925
3,5,22,31,43,0.14726463559546155
12,24,28,29,49,0.03088370799979803
3,12,26,28,29,0.00859353400028857
23,27,30,45,49,0.004915588751564457
12,14,28,29,49,0.004627368624627232
7,18,29,34,48,0.003602149988684373
1,14,16,18,30,0.0018211167328109747
3,4,21,43,48,0.0011607131645208185
2,12,18,40,48,0.0003750013631878352
7,16,17,30,42,0.00019009362723956694
25,27,29,39,47,0.000143298237639673
16,17,18,32,50,7.144182748537415e-05
2,4,15,38,50,2.055910131623583e-05
4,15,27,38,50,1.466260699590836e-05
Generation: ,16,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
7,24,26,33,45,0.11843402939175766
7,21,29,34,35,0.03193306753608975
8,23,24,34,40,0.02403448475389814
5,7,19,33,48,0.020377509837103205
12,25,28,29,49,0.01747569750008049
3,15,19,22,31,0.010896811543986827
8,21,35,43,48,0.006609115072441883
12,14,28,29,49,0.004627368624627232
7,18,29,34,48,0.003602149988684373
3,14,28,29,49,0.0032222788503808134
18,21,29,34,48,0.0018637055513065406
3,4,21,43,48,0.0011607131645208185
1,6,20,30,35,0.0009676808616375673
27,30,31,37,48,0.00023550406821959248
25,27,29,39,47,0.000143298237639673
34,35,36,40,41,1.6219931168171885e-05
Generation: ,17,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
7,8,9,25,31,0.1754933335056747
1,2,8,22,25,0.046532216141362395
1,21,33,41,46,0.037561875766998
7,21,29,34,35,0.03193306753608975
8,23,24,32,40,0.030036384566696026
8,23,24,34,40,0.02403448475389814
1,19,23,28,31,0.014947153808769343
3,11,37,44,45,0.014876803683997977
8,21,35,43,48,0.006609115072441883
8,21,35,42,48,0.005735446305482186
12,14,28,29,49,0.004627368624627232
11,14,16,20,23,0.003503429802645831
6,12,15,20,45,0.0011337143736472597
4,9,16,48,50,0.0008006313030441908
15,17,18,37,45,4.868699548623136e-06
10,15,17,33,41,1.042465459197249e-06
Generation: ,18,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
7,8,9,25,31,0.1754933335056747
5,8,14,22,31,0.05115778486507607
3,5,7,32,48,0.04735718726597292
1,21,33,41,46,0.037561875766998
12,24,27,33,38,0.012017532605315621
21,33,35,43,48,0.007823806418100914
31,37,44,48,49,0.007590975736569939
8,21,35,43,48,0.006609115072441883
12,14,28,29,49,0.004627368624627232
4,23,24,45,48,0.0022254509507819097
7,8,9,17,31,0.0019781900477156195
9,19,37,39,40,0.0012543910323645005
14,19,20,26,42,0.000449062096265809
5,11,17,26,34,0.0002921641069582897
6,28,30,37,41,0.00012309861858811707
2,6,27,38,48,5.7506834158454334e-05
Generation: ,19,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
5,8,21,31,41,0.06166462496610813
5,8,14,22,31,0.05115778486507607
8,18,22,23,29,0.016403345835373624
12,14,28,29,49,0.004627368624627232
11,15,25,26,33,0.0038416179765036335
11,22,26,28,30,0.0030626499162089067
9,18,20,25,26,0.0020837913604811096
1,3,11,17,33,0.0010106819204862652
10,21,33,41,45,0.0008867549790231358
14,19,20,26,42,0.000449062096265809
3,11,22,31,36,0.00043236199409804843
5,11,17,26,34,0.0002921641069582897
2,29,33,38,47,0.00017095004180353078
14,19,20,26,50,0.00016240934888759438
16,18,40,47,48,5.1963221138559033e-05
9,10,18,37,48,1.9253152086122e-05
Generation: ,20,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
13,16,23,41,49,0.05976252243254044
20,22,31,44,45,0.05609608577457773
5,21,31,40,45,0.023378665837436505
9,13,18,25,32,0.021184652242523166
3,5,9,14,46,0.013038114917090612
4,28,31,32,49,0.009188947324837174
4,8,23,26,32,0.007424495365213874
18,20,25,26,33,0.0027824360473159846
16,25,46,48,50,0.0021846426624563767
9,18,20,25,26,0.0020837913604811096
14,19,20,26,44,0.0008211106842826663
14,19,20,26,42,0.000449062096265809
3,11,22,31,36,0.00043236199409804843
14,19,26,42,50,0.0003283534391162817
2,29,33,38,47,0.00017095004180353078
29,31,34,36,37,4.216019768584584e-05
Generation: ,21,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
7,8,9,22,23,0.24276992586756793
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
8,23,33,35,44,0.07830591537662476
5,8,21,34,35,0.06918741078358985
20,22,31,44,45,0.05609608577457773
2,7,11,12,23,0.029841189236658922
9,29,31,34,37,0.015724399553037765
2,5,9,20,44,0.009080095912438422
4,12,35,39,45,0.007161820706475668
18,19,21,46,49,0.0061983797520573005
19,29,31,34,37,0.0057432387330698205
4,15,21,23,34,0.000999099945527031
14,19,20,26,44,0.0008211106842826663
14,18,20,26,44,0.0004813033213742661
14,19,20,26,42,0.000449062096265809
10,20,26,32,44,0.00028433614027261096
29,31,34,36,37,4.216019768584584e-05
Generation: ,22,#,#,#,fitness
7,8,9,22,31,0.4251086881430584
5,8,9,22,31,0.3342822879623018
7,8,22,23,49,0.31031815954313274
7,8,9,22,23,0.24276992586756793
5,8,21,22,31,0.2243439657140895
5,8,21,22,34,0.1926095771060624
5,21,22,25,34,0.09869166791496026
8,23,33,35,44,0.07830591537662476
5,8,9,22,48,0.05086817463669834
1,3,8,16,27,0.04942821225511265
2,16,24,43,49,0.04138612111325695
7,12,19,26,42,0.020939233059563956
3,16,39,43,50,0.012130011565926841
