Generation: ,0,#,#,#,fitness
3,6,7,32,33,0.06819148016579907
3,11,25,32,50,0.01232339245390305
7,25,32,38,48,0.006532812900697611
16,28,32,38,48,0.0029122056127470607
28,32,38,45,50,0.001987839293703797
25,28,32,38,48,0.0012624239656010446
23,28,38,48,50,0.00020058543408449004
6,23,26,33,36,3.3355637140441645e-05
Generation: ,7,#,#,#,fitness
3,7,32,33,45,0.32700802529727
7,21,31,32,33,0.3024758831909831
3,32,33,44,45,0.21990643474490726
25,31,32,33,45,0.1883705564629229
3,7,25,31,32,0.17634087583462946
3,7,23,32,45,0.16344029581890074
3,7,23,31,45,0.1523290784423266
3,7,23,25,32,0.10070427292558275
3,25,32,44,45,0.09518439761945158
3,25,28,31,32,0.03407673710430954
3,28,33,38,45,0.011090731515548449
3,28,33,45,50,0.008695302258051154
25,28,31,32,48,0.006703971122281466
7,10,32,33,44,0.0051932162724884
3,23,28,45,50,0.004345956867568353
7,23,25,28,50,0.0038425918034441214
3,18,25,45,50,0.0032145629518497056
16,28,32,38,48,0.0029122056127470607
28,32,38,45,50,0.001987839293703797
3,31,32,36,39,0.0003768633243682295
Generation: ,8,#,#,#,fitness
3,22,31,33,45,0.32895365007515515
3,7,32,33,45,0.32700802529727
7,21,31,32,33,0.3024758831909831
3,31,32,33,45,0.29461148477661064
3,32,33,44,45,0.21990643474490726
25,31,32,33,45,0.1883705564629229
3,24,25,32,33,0.15865558138074218
3,25,33,44,45,0.10136397123302496
3,25,32,44,45,0.09518439761945158
8,31,33,38,45,0.0645219048464363
3,28,32,33,45,0.06319219214667281
7,32,38,44,45,0.052007615080567386
3,31,33,38,45,0.05170665501634312
3,21,25,33,39,0.04968167036576133
6,32,33,44,45,0.047586551461326586
3,25,28,31,32,0.03407673710430954
25,28,32,44,45,0.026394950859792335
3,7,28,31,38,0.013422750209432748
3,28,33,38,45,0.011090731515548449
7,23,25,28,50,0.0038425918034441214
Generation: ,9,#,#,#,fitness
3,22,31,33,45,0.32895365007515515
3,7,32,33,45,0.32700802529727
7,21,31,32,33,0.3024758831909831
3,31,32,33,45,0.29461148477661064
3,32,33,44,45,0.21990643474490726
3,7,21,31,33,0.21805853249959548
22,25,31,32,45,0.197505960374961
3,7,9,21,33,0.18659341070605992
3,22,32,33,41,0.14479742964860973
3,25,33,44,45,0.10136397123302496
3,25,32,44,45,0.09518439761945158
3,19,22,24,45,0.07864361596639738
7,32,33,38,44,0.07403342969053811
1,25,31,42,44,0.058836531619531784
32,33,38,44,45,0.05353679601636974
7,32,38,44,45,0.052007615080567386
7,22,27,44,45,0.04583456259578524
25,28,32,44,45,0.026394950859792335
7,21,25,40,45,0.014703757879320753
9,25,44,45,47,0.002759403362539421
Generation: ,10,#,#,#,fitness
7,31,32,33,45,0.42276570959050414
3,22,31,33,45,0.32895365007515515
3,7,32,33,45,0.32700802529727
3,7,31,33,45,0.3047769271781852
7,21,31,32,33,0.3024758831909831
3,31,32,33,45,0.29461148477661064
21,31,32,33,45,0.21873347926682063
3,7,21,31,33,0.21805853249959548
3,21,31,32,33,0.2107854706152207
3,16,25,32,33,0.20709863663012792
21,23,31,32,33,0.15562412407340878
3,25,33,44,45,0.10136397123302496
7,31,33,38,44,0.06900038978869917
32,33,38,44,45,0.05353679601636974
7,25,39,41,49,0.039133296808281884
21,31,33,38,44,0.03569990419485046
8,13,30,31,39,0.02141984076184643
7,21,25,40,45,0.014703757879320753
3,22,31,44,47,0.007527603563426919
3,7,17,32,45,0.0015954883169341544
Generation: ,11,#,#,#,fitness
7,31,32,33,45,0.42276570959050414
3,22,31,33,45,0.32895365007515515
